block_group,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,red_lun_avg,median_house_value
5.30E+11,0.265221018,0.048373645,79722,54066,0.025854879,2.888,0.399836667,538600
5.30E+11,0.368082368,0.077220077,66196,41701,0.04954955,2.734,0.399836667,454300
5.30E+11,0.172629696,0.050089445,63359,53719,0.03667263,3.155,0.399836667,455400
5.30E+11,0.25199362,0.150717703,105662,47344,0.062200957,2.589,0.310583333,476800
5.30E+11,0.189858491,0,140250,89854,0.04009434,3.031,0.310583333,449300
5.30E+11,0.415430267,0.06379822,100000,42863,0.114985163,2.509,0.473316667,391600
5.30E+11,0.309025702,0.149432158,91809,63183,0.015540944,2.89,0.310583333,388400
5.30E+11,0.231871083,0.025962399,213611,136539,0.037600716,3.233,0.473316667,989900
5.30E+11,0.271103896,0.095238095,163984,70950,0,3.35,0.473316667,700100
5.30E+11,0.571536715,0.093868282,123088,45244,0.013626041,2.951,0.473316667,633900
5.30E+11,0.401476015,0.101107011,150294,81502,0,2.889,0.310583333,722700
5.30E+11,0.4375,0.073125,69653,31155,0.01125,2.606,0.473316667,439100
5.30E+11,0.402777778,0.100925926,52778,35311,0.048148148,2.865,0.473316667,460000
5.30E+11,0.168443497,0.076759062,78088,50813,0.036247335,2.898,0.473316667,287500
5.30E+11,0.154566745,0.071818891,32390,62687,0.010928962,2.705,0.473316667,319600
5.30E+11,0.272589218,0.056188307,54073,49166,0.01594533,2.731,0.399836667,364300
5.30E+11,0.343369176,0.01218638,92294,75663,0.038709677,2.915,0.39508,380400
5.30E+11,0.342995169,0.02705314,79574.57296,49477,0.02705314,2.677,0.39508,231700
5.30E+11,0.516159696,0.071292776,76369,63463,0.025665399,2.737,0.39508,426600
5.30E+11,0.468856947,0.11430527,86589,66886,0.070499658,2.937,0.39508,474100
5.30E+11,0.147460938,0,108242,74857,0,3.125,0.39508,471679.3478
5.30E+11,0.307359307,0.109187109,20811,36096,0.031265031,2.265,0.39508,526800
5.30E+11,0.364028777,0.062589928,46343,59862,0.021582734,2.725,0.39508,355900
5.30E+11,0.276457883,0.05075594,110788,85024,0.023758099,2.998,0.39508,453600
5.30E+11,0.629416006,0.105984138,79574.57296,30616,0.113193944,1.771,0.39508,557700
5.30E+11,0.362040134,0.010869565,23359,47866,0.012541806,2.199,0.39508,670600
5.30E+11,0.435070306,0.073614557,90841,76818,0.092638544,2.711,0.39508,1093800
5.30E+11,0.508390305,0.241765071,56079,44568,0.027967682,2.804,0.485726667,471679.3478
5.30E+11,0.073473282,0.061068702,42721,51697,0.011450382,3.139,0.485726667,313800
5.30E+11,0.37593361,0.044813278,55938,49390,0.022406639,2.716,0.485726667,311400
5.30E+11,0.179987413,0.086217747,47917,51114,0.011327879,2.518,0.485726667,323000
5.30E+11,0.298104956,0.139212828,32729,46282,0.071428571,2.79,0.485726667,274000
5.30E+11,0.327953045,0.057960382,47951,54084,0.007336757,2.55,0.485726667,1017500
