,block_group,neighborhood,portion,weight
446,530330114021,2.4,0.120286621,1
447,530330114022,2.4,0.06905032,1
448,530330114023,2.4,0.090356967,1
449,530330115001,2.4,0.207250246,1
450,530330115002,2.4,0.120659187,1
451,530330115003,2.4,0.084945839,1
452,530330116001,1.2,0.09226741,1
453,530330116002,1.2,0.093142527,1
454,530330116003,1.2,0.090329786,1
455,530330116004,1.2,0.071081252,1
456,530330116005,1.2,0.101263771,1
457,530330116006,1.2,0.105376147,1
458,530330117001,3.4,0.099440188,1
459,530330117002,3.4,0.128274712,1
460,530330117003,3.4,0.138328191,1
461,530330117004,3.4,0.101919503,1
462,530330118001,4.1,0.057012715,1
463,530330118002,4.1,0.072576259,1
464,530330118003,4.1,0.028060591,1
465,530330118004,4.1,0.048406833,1
466,530330118005,4.1,0.041271235,1
467,530330118006,4.1,0.072367864,1
468,530330119001,4.1,0.073985808,1
469,530330119002,4.1,0.163938022,1
470,530330119003,4.1,0.133266728,1
471,530330119004,4.1,0.218520941,1
472,530330119005,4.1,0.069321983,1
473,530330120001,1.1,0.195097,1
474,530330120002,1.1,0.164000886,1
475,530330120003,1.1,0.208038789,1
476,530330121001,1.1,0.208500913,1
477,530330121002,1.1,0.224362411,1
478,530330260011,4.1,0.02127102,1
479,530330264004,3.1,0.01454463,1
480,530330264005,3.1,0.004696778,1
481,530330265001,2.5,0.020786521,1
482,530339901000,9.1,0.109871572,1
